info_status,koi_period,koi_duration,koi_impact,koi_ror,koi_dor,koi_depth,koi_slogg,koi_srad,koi_smass,density_diff,Transit_shape
FP,262.71162,7.72,0.019,0.034145,268.8,1449,4.375,0.99,0.847,18.90034364,0.053145
FP,3.31577795,4.2349,0.633,0.299531,6.849,94567,4.516,0.849,0.864,16.64305949,0.932531
FP,8.360616221,7.5385,0.21,0.151129,9.614,28066,3.79,2.445,1.343,25,0.361129
FP,12.18420006,2.5014,0.746,0.022196,26,499.3,4.374,1.068,0.984,2.351485149,0.768196
FP,3.31587688,3.152,0.688,0.013251,6.03,185.6,4.476,0.875,0.835,20.70626003,0.701251
Confirmed,26.0203329,4.965,0.704,0.033353,30.3,1164.4,4.218,1.244,0.931,8.05785124,0.737353
FP,1.433769925,1.8868,1.268,0.318591,2.46,1976.3,4.22,1.339,1.083,6.873614191,1.586591
FP,2.192009479,2.9453,1.248,0.292251,2.28,1475.6,4.28,1.125,0.878,14.74878444,1.540251
FP,2.192004364,3.075,1.003,0.500675,6.195,99583,4.642,0.687,0.765,31.75074184,1.503675
Confirmed,12.49340725,2.2614,0.594,0.025332,35.3,715.7,4.561,0.795,0.84,19.91626794,0.619332
FP,0.856895349,1.3078,0.554,0.00864,4.28,82.2,4.537,0.873,0.958,5.138888889,0.56264
FP,49.78861301,7.41807,0.753,0.550315,69.489,219220,4.708,0.542,0.546,84.57276174,1.303315
FP,0.552834211,1.2887,1.045,0.06255,1.225,145.7,3.675,2.648,1.211,16.92307692,1.10755
Confirmed,76.6139446,10.22,0.851,0.023228,32.6,498.7,4.408,1.03,0.988,1.991150442,0.874228
FP,10.31872301,3.836,1.215,0.247006,5.92,871.7,4.409,1.06,1.05,4.081632653,1.462006
FP,8.412008943,5.41096,0.539,0.354243,14.7821,136110,4.225,1.314,1.057,4.721030043,0.893243
FP,8.4120069,3.923,0.022,0.025159,16.8,819.6,4.668,0.621,0.662,52.2431259,0.047159
FP,3.388887193,2.4475,0.387,0.098136,10.9,11268,4.438,1,1,0.8,0.485136
